Date,Time,Block,import
04-05-2016,08:15-08:30,34,1348
04-05-2016,08:30-08:45,35,1376
04-05-2016,08:45-09:00,36,1368
04-05-2016,09:00-09:15,37,1372
04-05-2016,09:15-09:30,38,1368
04-05-2016,09:30-09:45,39,1420
04-05-2016,09:45-10:00,40,1420
04-05-2016,10:00-10:15,41,1424
04-05-2016,10:15-10:30,42,1440
04-05-2016,10:30-10:45,43,1440
04-05-2016,10:45-11:00,44,1444
04-05-2016,11:00-11:15,45,1448
04-05-2016,11:15-11:30,46,1608
04-05-2016,11:30-11:45,47,1696
04-05-2016,11:45-12:00,48,1712
04-05-2016,12:00-12:15,49,1704
04-05-2016,12:15-12:30,50,1700
04-05-2016,12:30-12:45,51,1748
04-05-2016,12:45-13:00,52,1712
04-05-2016,13:00-13:15,53,1720
04-05-2016,13:15-13:30,54,1692
04-05-2016,13:30-13:45,55,1672
04-05-2016,13:45-14:00,56,1664
04-05-2016,14:00-14:15,57,1684
04-05-2016,14:15-14:30,58,1680
04-05-2016,14:30-14:45,59,1672
04-05-2016,14:45-15:00,60,1676
04-05-2016,15:00-15:15,61,1668
04-05-2016,15:15-15:30,62,1664
04-05-2016,15:30-15:45,63,1688
04-05-2016,15:45-16:00,64,1652
04-05-2016,16:00-16:15,65,1648
04-05-2016,16:15-16:30,66,1660
04-05-2016,16:30-16:45,67,1644
04-05-2016,16:45-17:00,68,1664
04-05-2016,17:00-17:15,69,1648
04-05-2016,17:15-17:30,70,1628
04-05-2016,17:30-17:45,71,1608
04-05-2016,17:45-18:00,72,1636
04-05-2016,18:00-18:15,73,1620
04-05-2016,18:15-18:30,74,1608
04-05-2016,18:30-18:45,75,1512
04-05-2016,18:45-19:00,76,1512
04-05-2016,19:00-19:15,77,1512
04-05-2016,19:15-19:30,78,1520
04-05-2016,19:30-19:45,79,1488
04-05-2016,19:45-20:00,80,1472
04-05-2016,20:00-20:15,81,1464
04-05-2016,20:15-20:30,82,1448
04-05-2016,20:30-20:45,83,1424
04-05-2016,20:45-21:00,84,1352
04-05-2016,21:00-21:15,85,1340
04-05-2016,21:15-21:30,86,1344
04-05-2016,21:30-21:45,87,1352
04-05-2016,21:45-22:00,88,1324
04-05-2016,22:00-22:15,89,1316
04-05-2016,22:15-22:30,90,1300
04-05-2016,22:30-22:45,91,1264
04-05-2016,22:45-23:00,92,1232
04-05-2016,23:00-23:15,93,1216
04-05-2016,23:15-23:30,94,1192
04-05-2016,23:30-23:45,95,1180
04-05-2016,23:45-00:00,96,1104
05-05-2016,00:00-00:15,1,1048
05-05-2016,00:15-00:30,2,1036
05-05-2016,00:30-00:45,3,1044
05-05-2016,00:45-01:00,4,1036
05-05-2016,01:00-01:15,5,1020
05-05-2016,01:15-01:30,6,1008
05-05-2016,01:30-01:45,7,1008
05-05-2016,01:45-02:00,8,1000
05-05-2016,02:00-02:15,9,1004
05-05-2016,02:15-02:30,10,1004
05-05-2016,02:30-02:45,11,992
05-05-2016,02:45-03:00,12,984
05-05-2016,03:00-03:15,13,988
05-05-2016,03:15-03:30,14,896
05-05-2016,03:30-03:45,15,880
05-05-2016,03:45-04:00,16,868
05-05-2016,04:00-04:15,17,872
05-05-2016,04:15-04:30,18,948
05-05-2016,04:30-04:45,19,976
05-05-2016,04:45-05:00,20,968
05-05-2016,05:00-05:15,21,960
05-05-2016,05:15-05:30,22,952
05-05-2016,05:30-05:45,23,940
05-05-2016,05:45-06:00,24,948
05-05-2016,06:00-06:15,25,928
05-05-2016,06:15-06:30,26,904
05-05-2016,06:30-06:45,27,952
05-05-2016,06:45-07:00,28,944
05-05-2016,07:00-07:15,29,1012
05-05-2016,07:15-07:30,30,1084
05-05-2016,07:30-07:45,31,1100
05-05-2016,07:45-08:00,32,1148
05-05-2016,08:00-08:15,33,1204
05-05-2016,08:15-08:30,34,1260
05-05-2016,08:30-08:45,35,1296
05-05-2016,08:45-09:00,36,1296
05-05-2016,09:00-09:15,37,1296
05-05-2016,09:15-09:30,38,1316
05-05-2016,09:30-09:45,39,1336
